Ticker,Date,Actual,Estimate
PEG US,2019-05-02,1.08,1.003
CMA US,2019-04-16,2.08,1.931
STZ US,2019-06-28,2.21,2.05
BLK US,2019-04-16,6.61,6.13
EW US,2019-04-23,1.32,1.224
KMB US,2019-04-22,1.66,1.539
ALGN US,2019-04-24,0.89,0.825
ABC US,2019-05-02,2.11,1.955
ATO US,2019-05-07,1.82,1.686
AKAM US,2019-04-30,1.1,1.019
ORCL US,2019-06-19,1.16,1.074
FBHS US,2019-04-24,0.63,0.583
ALXN US,2019-04-25,2.39,2.211
HST US,2019-05-01,0.48,0.444
OMC US,2019-04-16,1.17,1.082
AIZ US,2019-05-06,2.33,2.153
BAC US,2019-04-16,0.71,0.656
CTXS US,2019-04-24,1.27,1.173
GIS US,2019-06-26,0.83,0.766
EVRG US,2019-05-08,0.44,0.406
NUE US,2019-04-23,1.63,1.504
HSY US,2019-04-25,1.59,1.467
BF/B US,2019-06-05,0.33,0.304
WHR US,2019-04-22,3.11,2.864
NVDA US,2019-05-16,0.88,0.81
JEC US,2019-05-07,1.19,1.095
KLAC US,2019-05-06,1.8,1.656
INFO US,2019-06-26,0.71,0.652
QCOM US,2019-05-01,0.77,0.706
DISCA US,2019-05-02,0.87,0.796
PFG US,2019-04-25,1.43,1.308
PM US,2019-04-18,1.09,0.997
URI US,2019-04-17,3.31,3.027
CE US,2019-04-22,2.62,2.395
PCAR US,2019-04-30,1.81,1.654
LRCX US,2019-04-24,3.7,3.38
GILD US,2019-05-02,1.76,1.607
NLSN US,2019-04-30,0.35,0.319
FLIR US,2019-04-24,0.53,0.483
CDNS US,2019-04-22,0.54,0.491
IT US,2019-05-07,0.58,0.527
JPM US,2019-04-12,2.59,2.353
COP US,2019-04-30,1,0.907
NOC US,2019-04-24,5.06,4.587
TEL US,2019-04-24,1.42,1.283
MSCI US,2019-05-02,1.55,1.4
WMT US,2019-05-16,1.13,1.02
RJF US,2019-04-24,1.81,1.633
ARNC US,2019-04-30,0.43,0.387
AMD US,2019-04-30,0.06,0.054
TROW US,2019-04-24,1.87,1.683
IDXX US,2019-05-01,1.17,1.052
TXT US,2019-04-17,0.76,0.683
CAH US,2019-05-09,1.59,1.426
ANET US,2019-05-02,2.31,2.07
BAX US,2019-04-25,0.76,0.681
CMCSA US,2019-04-25,0.76,0.681
AMT US,2019-05-03,1.73,1.55
UTX US,2019-04-23,1.91,1.711
IR US,2019-04-30,0.89,0.797
ZTS US,2019-05-02,0.88,0.788
PFE US,2019-04-30,0.85,0.761
TXN US,2019-04-23,1.26,1.128
CDW US,2019-05-01,1.24,1.11
MSI US,2019-05-02,1.28,1.145
CBOE US,2019-05-03,1.11,0.991
OKE US,2019-04-30,0.81,0.723
RTN US,2019-04-25,2.77,2.472
COG US,2019-04-26,0.73,0.651
SYF US,2019-04-18,1,0.891
DOV US,2019-04-18,1.24,1.104
CSX US,2019-04-16,1.02,0.908
SYY US,2019-05-06,0.79,0.702
ALK US,2019-04-25,0.17,0.151
HIG US,2019-05-01,1.39,1.234
BKR US,2019-04-30,0.15,0.133
CMG US,2019-04-24,3.4,3.013
LDOS US,2019-04-30,1.13,1
PRGO US,2019-05-08,1.07,0.945
FIS US,2019-04-30,1.64,1.447
VRTX US,2019-04-30,1.14,1.005
FOXA US,2019-05-08,0.76,0.669
TSCO US,2019-04-25,0.63,0.554
XRX US,2019-04-25,0.91,0.8
SIVB US,2019-04-25,5.44,4.782
PPG US,2019-04-18,1.38,1.21
MS US,2019-04-17,1.33,1.166
MSFT US,2019-04-24,1.14,0.999
LEN US,2019-06-25,1.3,1.138
TRIP US,2019-05-07,0.36,0.315
SRE US,2019-05-07,1.92,1.68
PXD US,2019-05-06,1.83,1.599
AEE US,2019-05-09,0.78,0.681
OXY US,2019-05-05,0.84,0.733
HOG US,2019-04-23,0.98,0.855
GS US,2019-04-15,5.71,4.968
PYPL US,2019-04-24,0.78,0.678
LUV US,2019-04-25,0.7,0.608
NSC US,2019-04-24,2.51,2.179
TMUS US,2019-04-25,1.06,0.92
LW US,2019-04-02,0.95,0.823
MNST US,2019-05-02,0.49,0.424
BEN US,2019-04-26,0.72,0.623
QRVO US,2019-05-07,1.22,1.055
DHI US,2019-04-25,1,0.862
MRK US,2019-04-30,1.22,1.051
EOG US,2019-05-02,1.19,1.024
MET US,2019-05-01,1.48,1.272
STX US,2019-04-30,0.83,0.713
PWR US,2019-05-02,0.96,0.823
FB US,2019-04-24,1.89,1.619
RE US,2019-05-06,6.91,5.901
HPE US,2019-05-23,0.42,0.358
ETFC US,2019-04-17,1.09,0.929
PSX US,2019-04-30,0.4,0.34
NCLH US,2019-05-09,0.83,0.705
BBY US,2019-05-23,1.02,0.866
DLR US,2019-04-25,1.92,1.63
CMI US,2019-04-30,4.2,3.555
CPB US,2019-06-05,0.56,0.474
VIAB US,2019-05-10,0.95,0.804
ANSS US,2019-05-01,1.29,1.091
RCL US,2019-05-01,1.31,1.107
ROP US,2019-04-25,3.3,2.779
FTNT US,2019-05-02,0.46,0.387
RL US,2019-05-14,1.07,0.898
EL US,2019-05-01,1.55,1.3
WY US,2019-04-26,0.11,0.092
ILMN US,2019-04-25,1.6,1.338
CINF US,2019-04-24,1.05,0.877
FLS US,2019-05-02,0.41,0.341
WCG US,2019-04-30,3.69,3.062
ATVI US,2019-05-02,0.31,0.257
UAL US,2019-04-16,1.15,0.952
NEM US,2019-04-25,0.33,0.273
IP US,2019-04-25,1.11,0.906
JNPR US,2019-04-25,0.26,0.212
NOW US,2019-04-24,0.67,0.543
KEYS US,2019-05-29,1.22,0.985
PHM US,2019-04-23,0.59,0.473
L US,2019-04-29,1.2,0.96
WAB US,2019-04-25,1.06,0.843
LHX US,2019-05-01,2.58,2.039
VMC US,2019-05-02,0.46,0.363
EXPE US,2019-05-02,-0.27,-0.369
XRAY US,2019-05-03,0.49,0.386
CTL US,2019-05-08,0.34,0.267
SWK US,2019-04-24,1.42,1.113
HCA US,2019-04-30,2.97,2.319
GM US,2019-04-30,1.41,1.1
CBRE US,2019-05-08,0.79,0.613
DVN US,2019-04-30,0.36,0.276
NFLX US,2019-04-16,0.76,0.58
WRK US,2019-04-30,0.8,0.606
MU US,2019-06-25,1.05,0.784
PGR US,2019-04-16,1.83,1.359
M US,2019-05-15,0.44,0.325
EA US,2019-05-07,1.31,0.962
LMT US,2019-04-23,5.99,4.343
NVR US,2019-04-22,47.64,34.448
HFC US,2019-05-02,0.54,0.385
VLO US,2019-04-25,0.34,0.232
HP US,2019-04-24,0.56,0.381
AIG US,2019-05-06,1.58,1.052
AMZN US,2019-04-25,7.09,4.667
CRM US,2019-06-04,0.93,0.606
GE US,2019-04-30,0.14,0.089
INCY US,2019-04-30,0.62,0.391
F US,2019-04-25,0.44,0.256
DD US,2019-05-02,2.52,1.38
MLM US,2019-04-30,0.68,0.33
IPG US,2019-04-26,0.11,0.048
HES US,2019-04-25,0.09,-0.266
TWTR US,2019-04-23,0.37,0.147
NWSA US,2019-05-09,0.04,0.015
HAS US,2019-04-23,0.21,-0.112
MRO US,2019-05-01,0.31,0.07
NWL US,2019-05-03,0.14,0.03
UAA US,2019-05-02,0.05,-0.001
LB US,2019-05-22,0.14,-0.002
