Date,Open,High,Low,Close,Adj Close,Volume
2019-04-23,124.099998,125.580002,123.830002,125.440002,124.140182,24025500
2019-04-24,125.790001,125.849998,124.519997,125.010002,123.714630,31257000
2019-04-25,130.059998,131.369995,128.830002,129.149994,127.811722,38033900
2019-04-26,129.699997,130.520004,129.020004,129.889999,128.544052,23654900
2019-04-29,129.899994,130.179993,129.350006,129.770004,128.425308,16324200
2019-04-30,129.809998,130.699997,129.389999,130.600006,129.246719,24166500
2019-05-01,130.529999,130.649994,127.699997,127.879997,126.554886,26821700
2019-05-02,127.980003,128.000000,125.519997,126.209999,124.902199,27350200
2019-05-03,127.360001,129.429993,127.250000,128.899994,127.564301,24911100
2019-05-06,126.389999,128.559998,126.110001,128.149994,126.822083,24239800
2019-05-07,126.459999,127.180000,124.220001,125.519997,124.219337,36017700
2019-05-08,125.440002,126.370003,124.750000,125.510002,124.209450,28419000
2019-05-09,124.290001,125.790001,123.570000,125.500000,124.199554,27235800
2019-05-10,124.910004,127.930000,123.820000,127.129997,125.812660,30915100
2019-05-13,124.110001,125.550003,123.040001,123.349998,122.071831,33944900
2019-05-14,123.870003,125.879997,123.699997,124.730003,123.437538,25266300
2019-05-15,124.260002,126.709999,123.699997,126.019997,125.175804,24722700
2019-05-16,126.750000,129.380005,126.459999,128.929993,128.066315,30112200
2019-05-17,128.309998,130.460007,127.919998,128.070007,127.212082,25770500
2019-05-20,126.519997,127.589996,125.760002,126.220001,125.374474,23706900
2019-05-21,127.430000,127.529999,126.580002,126.900002,126.049919,15293300
2019-05-22,126.620003,128.240005,126.519997,127.669998,126.814758,15396500
2019-05-23,126.199997,126.290001,124.739998,126.180000,125.334740,23603800
2019-05-24,126.910004,127.419998,125.970001,126.239998,125.394333,14123400
2019-05-28,126.980003,128.000000,126.050003,126.160004,125.314880,23128400
2019-05-29,125.379997,125.389999,124.040001,124.940002,124.103043,22763100
2019-05-30,125.260002,125.760002,124.779999,125.730003,124.887756,16829600
Date,Open,High,Low,Close,Adj Close,Volume
2019-03-01,31.170000,31.190001,30.280001,30.620001,30.620001,12360700
